"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"323","OLLI","Ollie’s Bargain Outlet Holdings, Inc.","Акции иностранного эмитента обыкновенные","US6811161099","24.08.2022"
"324","OLN","Olin Corporation","Акции иностранного эмитента обыкновенные","US6806652052","17.08.2022"
"325","OMC","Omnicom Group Inc.","Акции иностранного эмитента обыкновенные","US6819191064","24.08.2022"
"326","OMF","OneMain Holdings, Inc.","Акции иностранного эмитента обыкновенные","US68268W1036","17.08.2022"
"327","ON","ON Semiconductor Corporation","Акции иностранного эмитента обыкновенные","US6821891057","10.08.2022"
"328","ORCL","Oracle Corporation","Акции иностранного эмитента обыкновенные","US68389X1054","10.08.2022"
"329","OSH","Oak Street Health, Inc.","Акции иностранного эмитента обыкновенные","US67181A1079","24.08.2022"
"330","OSTK","Overstock.com, Inc.","Акции иностранного эмитента обыкновенные","US6903701018","17.08.2022"
"331","OTIS","Otis Worldwide Corporation","Акции иностранного эмитента обыкновенные","US68902V1070","24.08.2022"
"332","OVV","Ovintiv Inc.","Акции иностранного эмитента обыкновенные","US69047Q1022","10.08.2022"
"333","OXY","Occidental Petroleum Corporation","Акции иностранного эмитента обыкновенные","US6745991058","10.08.2022"
"334","PANW","Palo Alto Networks, Inc.","Акции иностранного эмитента обыкновенные","US6974351057","17.08.2022"
"335","PARA","Paramount Global","Акции иностранного эмитента обыкновенные класса B","US92556H2067","10.08.2022"
"336","PBF","PBF Energy Inc.","Акции иностранного эмитента обыкновенные класса A","US69318G1067","10.08.2022"
"337","PCAR","PACCAR Inc","Акции иностранного эмитента обыкновенные","US6937181088","24.08.2022"
"338","PCG","PG&E Corporation","Акции иностранного эмитента обыкновенные","US69331C1080","17.08.2022"
"339","PCOR","Procore Technologies, Inc.","Акции иностранного эмитента обыкновенные","US74275K1088","24.08.2022"
"340","PD","PagerDuty, Inc.","Акции иностранного эмитента обыкновенные","US69553P1003","17.08.2022"
"341","PEG","Public Service Enterprise Group Incorporated","Акции иностранного эмитента обыкновенные","US7445731067","24.08.2022"
"342","PEP","PepsiCo, Inc.","Акции иностранного эмитента обыкновенные","US7134481081","10.08.2022"
"343","PFE","Pfizer Inc.","Акции иностранного эмитента обыкновенные","US7170811035","10.08.2022"
"344","PFG","Principal Financial Group, Inc.","Акции иностранного эмитента обыкновенные","US74251V1026","17.08.2022"
"345","PG","The Procter & Gamble Company","Акции иностранного эмитента обыкновенные","US7427181091","10.08.2022"
"346","PGR","The Progressive Corporation","Акции иностранного эмитента обыкновенные","US7433151039","24.08.2022"
"347","PHM","PulteGroup, Inc.","Акции иностранного эмитента обыкновенные","US7458671010","10.08.2022"
"348","PLAY","Dave & Buster's Entertainment, Inc.","Акции иностранного эмитента обыкновенные","US2383371091","10.08.2022"
"349","PLD","Prologis, Inc.","Акции иностранного эмитента обыкновенные","US74340W1036","17.08.2022"
"350","PLTR","Palantir Technologies Inc.","Акции иностранного эмитента обыкновенные класса A","US69608A1088","10.08.2022"
"351","PM","Philip Morris International Inc.","Акции иностранного эмитента обыкновенные","US7181721090","10.08.2022"
"352","PNC","The PNC Financial Services Group, Inc.","Акции иностранного эмитента обыкновенные","US6934751057","24.08.2022"
"353","PPL","PPL Corporation","Акции иностранного эмитента обыкновенные","US69351T1060","17.08.2022"
"354","PRU","Prudential Financial, Inc.","Акции иностранного эмитента обыкновенные","US7443201022","24.08.2022"
"355","PSTG","Pure Storage, Inc.","Акции иностранного эмитента обыкновенные класса A","US74624M1027","10.08.2022"
"356","PSX","Phillips 66","Акции иностранного эмитента обыкновенные","US7185461040","17.08.2022"
"357","PTON","Peloton Interactive, Inc.","Акции иностранного эмитента обыкновенные класса A","US70614W1009","10.08.2022"
"358","PUMP","ProPetro Holding Corp.","Акции иностранного эмитента обыкновенные","US74347M1080","24.08.2022"
"359","PVH","PVH Corp.","Акции иностранного эмитента обыкновенные","US6936561009","17.08.2022"
"360","PWR","Quanta Services, Inc.","Акции иностранного эмитента обыкновенные","US74762E1029","24.08.2022"
"361","PXD","Pioneer Natural Resources Company","Акции иностранного эмитента обыкновенные","US7237871071","17.08.2022"
"362","QCOM","QUALCOMM Incorporated","Акции иностранного эмитента обыкновенные","US7475251036","10.08.2022"
"363","QRVO","Qorvo, Inc.","Акции иностранного эмитента обыкновенные","US74736K1016","24.08.2022"
"364","RCL","Royal Caribbean Cruises Ltd.","Акции иностранного эмитента обыкновенные","LR0008862868","10.08.2022"
"365","RDFN","Redfin Corporation","Акции иностранного эмитента обыкновенные","US75737F1084","17.08.2022"
"366","RF","Regions Financial Corporation","Акции иностранного эмитента обыкновенные","US7591EP1005","24.08.2022"
"367","RHI","Robert Half International Inc.","Акции иностранного эмитента обыкновенные","US7703231032","17.08.2022"
"368","RJF","Raymond James Financial, Inc.","Акции иностранного эмитента обыкновенные","US7547301090","24.08.2022"
"369","RL","Ralph Lauren Corporation","Акции иностранного эмитента обыкновенные класса A","US7512121010","17.08.2022"
"370","RNG","RingCentral, Inc.","Акции иностранного эмитента обыкновенные класса A","US76680R2067","24.08.2022"
"371","ROK","Rockwell Automation, Inc.","Акции иностранного эмитента обыкновенные","US7739031091","17.08.2022"
"372","ROKU","Roku, Inc.","Акции иностранного эмитента обыкновенные класса A","US77543R1023","10.08.2022"
"373","ROL","Rollins, Inc.","Акции иностранного эмитента обыкновенные","US7757111049","24.08.2022"
"374","ROST","Ross Stores, Inc.","Акции иностранного эмитента обыкновенные","US7782961038","17.08.2022"
"375","RRC","Range Resources Corporation","Акции иностранного эмитента обыкновенные","US75281A1097","10.08.2022"
"376","RSG","Republic Services, Inc.","Акции иностранного эмитента обыкновенные","US7607591002","24.08.2022"
"377","RTX","Raytheon Technologies Corporation","Акции иностранного эмитента обыкновенные","US75513E1010","17.08.2022"
"378","RUN","Sunrun Inc.","Акции иностранного эмитента обыкновенные","US86771W1053","10.08.2022"
"379","SBRA","Sabra Health Care REIT, Inc.","Акции иностранного эмитента обыкновенные","US78573L1061","24.08.2022"
"380","SBUX","Starbucks Corporation","Акции иностранного эмитента обыкновенные","US8552441094","10.08.2022"
"381","SCCO","Southern Copper Corporation","Акции иностранного эмитента обыкновенные","US84265V1052","17.08.2022"
"382","SCHW","The Charles Schwab Corporation","Акции иностранного эмитента обыкновенные","US8085131055","10.08.2022"
"383","SFM","Sprouts Farmers Market, Inc.","Акции иностранного эмитента обыкновенные","US85208M1027","24.08.2022"
"384","SHEL","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций Shell plc","US7802593050","10.08.2022"
"385","SHOP","Shopify Inc.","Акции иностранного эмитента обыкновенные класса A","CA82509L1076","10.08.2022"
"386","SIG","Signet Jewelers Limited","Акции иностранного эмитента обыкновенные","BMG812761002","10.08.2022"
"387","SJM","The J.M. Smucker Company","Акции иностранного эмитента обыкновенные","US8326964058","17.08.2022"
"388","SKIN","The Beauty Health Company","Акции иностранного эмитента обыкновенные класса A","US88331L1089","24.08.2022"
"389","SLB","Schlumberger Limited","Акции иностранного эмитента обыкновенные","AN8068571086","10.08.2022"
"390","SMAR","Smartsheet Inc.","Акции иностранного эмитента обыкновенные класса A","US83200N1037","17.08.2022"
"391","SNAP","Snap Inc.","Акции иностранного эмитента обыкновенные класса A","US83304A1060","10.08.2022"
"392","SNOW","Snowflake Inc.","Акции иностранного эмитента обыкновенные класса A","US8334451098","10.08.2022"
"393","SNY","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций Sanofi","US80105N1054","24.08.2022"
"394","SO","The Southern Company","Акции иностранного эмитента обыкновенные","US8425871071","17.08.2022"
"395","SONO","Sonos, Inc.","Акции иностранного эмитента обыкновенные","US83570H1086","24.08.2022"
"396","SPG","Simon Property Group, Inc.","Акции иностранного эмитента обыкновенные","US8288061091","17.08.2022"
"397","SPGI","S&P Global Inc.","Акции иностранного эмитента обыкновенные","US78409V1044","24.08.2022"
"398","SPLK","Splunk Inc.","Акции иностранного эмитента обыкновенные","US8486371045","17.08.2022"
"399","SPOT","Spotify Technology S.A.","Акции иностранного эмитента обыкновенные","LU1778762911","10.08.2022"
"400","SPR","Spirit AeroSystems Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US8485741099","10.08.2022"
"401","SQ","Block, Inc.","Акции иностранного эмитента обыкновенные класса A","US8522341036","10.08.2022"
"402","SRE","Sempra Energy","Акции иностранного эмитента обыкновенные","US8168511090","24.08.2022"
"403","STAG","STAG Industrial, Inc.","Акции иностранного эмитента обыкновенные","US85254J1025","17.08.2022"
"404","STEM","Stem, Inc.","Акции иностранного эмитента обыкновенные","US85859N1028","24.08.2022"
"405","STLD","Steel Dynamics, Inc.","Акции иностранного эмитента обыкновенные","US8581191009","17.08.2022"
"406","STNE","StoneCo Ltd.","Акции иностранного эмитента обыкновенные класса A","KYG851581069","24.08.2022"
"407","STOR","STORE Capital Corporation","Акции иностранного эмитента обыкновенные","US8621211007","17.08.2022"
"408","STT","State Street Corporation","Акции иностранного эмитента обыкновенные","US8574771031","24.08.2022"
"409","SWK","Stanley Black & Decker, Inc.","Акции иностранного эмитента обыкновенные","US8545021011","10.08.2022"
"410","SWKS","Skyworks Solutions, Inc.","Акции иностранного эмитента обыкновенные","US83088M1027","17.08.2022"
"411","SYF","Synchrony Financial","Акции иностранного эмитента обыкновенные","US87165B1035","24.08.2022"
"412","SYY","Sysco Corporation","Акции иностранного эмитента обыкновенные","US8718291078","17.08.2022"
"413","T","AT&T INC.","Акции иностранного эмитента обыкновенные","US00206R1023","10.08.2022"
"414","TAK","The Bank of New York Mellon","Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций Takeda Pharmaceutical Company Limited","US8740602052","24.08.2022"
"415","TAP","Molson Coors Beverage Company","Акции иностранного эмитента обыкновенные класса B","US60871R2094","17.08.2022"
"416","TDOC","Teladoc Health, Inc.","Акции иностранного эмитента обыкновенные","US87918A1051","10.08.2022"
"417","TER","Teradyne, Inc.","Акции иностранного эмитента обыкновенные","US8807701029","24.08.2022"
"418","TFC","Truist Financial Corporation","Акции иностранного эмитента обыкновенные","US89832Q1094","17.08.2022"
"419","TGT","Target Corporation","Акции иностранного эмитента обыкновенные","US87612E1064","10.08.2022"
"420","THO","Thor Industries, Inc.","Акции иностранного эмитента обыкновенные","US8851601018","24.08.2022"
"421","TJX","The TJX Companies, Inc.","Акции иностранного эмитента обыкновенные","US8725401090","17.08.2022"
"422","TMO","Thermo Fisher Scientific Inc.","Акции иностранного эмитента обыкновенные","US8835561023","24.08.2022"
"423","TMUS","T-Mobile US, Inc.","Акции иностранного эмитента обыкновенные","US8725901040","17.08.2022"
"424","TNDM","Tandem Diabetes Care, Inc.","Акции иностранного эмитента обыкновенные","US8753722037","24.08.2022"
"425","TPR","Tapestry, Inc.","Акции иностранного эмитента обыкновенные","US8760301072","17.08.2022"
"426","TPX","Tempur Sealy International, Inc.","Акции иностранного эмитента обыкновенные","US88023U1016","24.08.2022"
"427","TRIP","TripAdvisor, Inc.","Акции иностранного эмитента обыкновенные","US8969452015","10.08.2022"
"428","TROW","T. Rowe Price Group, Inc.","Акции иностранного эмитента обыкновенные","US74144T1088","17.08.2022"
"429","TRV","The Travelers Companies, Inc.","Акции иностранного эмитента обыкновенные","US89417E1091","24.08.2022"
"430","TSLA","Tesla, Inc.","Акции иностранного эмитента обыкновенные","US88160R1014","10.08.2022"
"431","TSM","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Taiwan Semiconductor Manufacturing Company Ltd.","US8740391003","10.08.2022"
"432","TSN","Tyson Foods, Inc.","Акции иностранного эмитента обыкновенные класса A","US9024941034","10.08.2022"
"433","TTD","The Trade Desk, Inc.","Акции иностранного эмитента обыкновенные класса A","US88339J1051","10.08.2022"
"434","TTE","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций TotalEnergies SE","US89151E1091","10.08.2022"
"435","TTWO","Take-Two Interactive Software, Inc.","Акции иностранного эмитента обыкновенные","US8740541094","17.08.2022"
"436","TWLO","Twilio Inc.","Акции иностранного эмитента обыкновенные класса A","US90138F1021","10.08.2022"
"437","TWOU","2U, Inc.","Акции иностранного эмитента обыкновенные","US90214J1016","10.08.2022"
"438","TWST","Twist Bioscience Corporation","Акции иностранного эмитента обыкновенные","US90184D1000","24.08.2022"
"439","TWTR","Twitter, Inc.","Акции иностранного эмитента обыкновенные","US90184L1026","10.08.2022"
"440","TXG","10x Genomics, Inc.","Акции иностранного эмитента обыкновенные класса A","US88025U1097","10.08.2022"
"441","TXN","Texas Instruments Incorporated","Акции иностранного эмитента обыкновенные","US8825081040","17.08.2022"
"442","UA","Under Armour, Inc.","Акции иностранного эмитента обыкновенные класса C","US9043112062","24.08.2022"
"443","UAA","Under Armour, Inc.","Акции иностранного эмитента обыкновенные класса A","US9043111072","10.08.2022"
"444","UAL","United Airlines Holdings, Inc.","Акции иностранного эмитента обыкновенные","US9100471096","10.08.2022"
"445","UBER","Uber Technologies, Inc.","Акции иностранного эмитента обыкновенные","US90353T1007","10.08.2022"
"446","UNH","UnitedHealth Group Incorporated","Акции иностранного эмитента обыкновенные","US91324P1021","10.08.2022"
"447","UNM","Unum Group","Акции иностранного эмитента обыкновенные","US91529Y1064","17.08.2022"
"448","UNP","Union Pacific Corporation","Акции иностранного эмитента обыкновенные","US9078181081","24.08.2022"
"449","UPS","United Parcel Service, Inc.","Акции иностранного эмитента обыкновенные класса B","US9113121068","17.08.2022"
"450","URBN","Urban Outfitters, Inc.","Акции иностранного эмитента обыкновенные","US9170471026","24.08.2022"
"451","USB","U.S. Bancorp","Акции иностранного эмитента обыкновенные","US9029733048","17.08.2022"
"452","V","Visa Inc.","Акции иностранного эмитента обыкновенные класса A","US92826C8394","10.08.2022"
"453","VALE","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Vale S.A.","US91912E1055","10.08.2022"
"454","VEEV","Veeva Systems Inc.","Акции иностранного эмитента обыкновенные класса A","US9224751084","24.08.2022"
"455","VFC","V.F. Corporation","Акции иностранного эмитента обыкновенные","US9182041080","17.08.2022"
"456","VIPS","Deutsche Bank Trust Company Americas","Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций класса A Vipshop Holdings Limited","US92763W1036","10.08.2022"
"457","VLO","Valero Energy Corporation","Акции иностранного эмитента обыкновенные","US91913Y1001","10.08.2022"
"458","VMW","Vmware, Inc.","Акции иностранного эмитента обыкновенные класса A","US9285634021","24.08.2022"
"459","VNO","Vornado Realty Trust","Акции иностранного эмитента обыкновенные","US9290421091","17.08.2022"
"460","VRT","Vertiv Holdings Co","Акции иностранного эмитента обыкновенные класса A","US92537N1081","24.08.2022"
"461","VRTX","Vertex Pharmaceuticals Incorporated","Акции иностранного эмитента обыкновенные","US92532F1003","10.08.2022"
"462","VSCO","Victoria’s Secret & Co.","Акции иностранного эмитента обыкновенные","US9264001028","17.08.2022"
"463","VST","Vistra Corp.","Акции иностранного эмитента обыкновенные","US92840M1027","24.08.2022"
"464","VTR","Ventas, Inc.","Акции иностранного эмитента обыкновенные","US92276F1003","17.08.2022"
"465","VTRS","Viatris Inc.","Акции иностранного эмитента обыкновенные","US92556V1061","24.08.2022"
"466","VZ","Verizon Communications Inc.","Акции иностранного эмитента обыкновенные","US92343V1044","10.08.2022"
"467","WB","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций класса A Weibo Corporation","US9485961018","10.08.2022"
"468","WBA","Walgreens Boots Alliance, Inc.","Акции иностранного эмитента обыкновенные","US9314271084","17.08.2022"
"469","WBD","Warner Bros. Discovery, Inc.","Акции иностранного эмитента обыкновенные серии A","US9344231041","10.08.2022"
"470","WDAY","Workday, Inc.","Акции иностранного эмитента обыкновенные класса A","US98138H1014","24.08.2022"
"471","WDC","Western Digital Corporation","Акции иностранного эмитента обыкновенные","US9581021055","10.08.2022"
"472","WELL","Welltower Inc.","Акции иностранного эмитента обыкновенные","US95040Q1040","17.08.2022"
"473","WFC","Wells Fargo & Company","Акции иностранного эмитента обыкновенные","US9497461015","10.08.2022"
"474","WIX","Wix.com Ltd.","Акции иностранного эмитента обыкновенные","IL0011301780","24.08.2022"
"475","WM","Waste Management, Inc.","Акции иностранного эмитента обыкновенные","US94106L1098","17.08.2022"
"476","WMB","The Williams Companies, Inc.","Акции иностранного эмитента обыкновенные","US9694571004","10.08.2022"
"477","WMT","Walmart Inc.","Акции иностранного эмитента обыкновенные","US9311421039","10.08.2022"
"478","WOLF","Wolfspeed, Inc.","Акции иностранного эмитента обыкновенные","US9778521024","24.08.2022"
"479","WRB","W. R. Berkley Corporation","Акции иностранного эмитента обыкновенные","US0844231029","17.08.2022"
"480","WRK","WestRock Company","Акции иностранного эмитента обыкновенные","US96145D1054","24.08.2022"
"481","WU","The Western Union Company","Акции иностранного эмитента обыкновенные","US9598021098","17.08.2022"
"482","WW","WW International, Inc.","Акции иностранного эмитента обыкновенные","US98262P1012","24.08.2022"
"483","WY","Weyerhaeuser Company","Акции иностранного эмитента обыкновенные","US9621661043","17.08.2022"
"484","WYNN","Wynn Resorts, Limited","Акции иностранного эмитента обыкновенные","US9831341071","10.08.2022"
"485","XEL","Xcel Energy Inc.","Акции иностранного эмитента обыкновенные","US98389B1008","24.08.2022"
"486","XM","Qualtrics International Inc.","Акции иностранного эмитента обыкновенные класса A","US7476012015","17.08.2022"
"487","XOM","Exxon Mobil Corporation","Акции иностранного эмитента обыкновенные","US30231G1022","10.08.2022"
"488","XP","XP Inc.","Акции иностранного эмитента обыкновенные класса A","KYG982391099","24.08.2022"
"489","XRAY","DENTSPLY SIRONA Inc.","Акции иностранного эмитента обыкновенные","US24906P1093","10.08.2022"
"490","XRX","Xerox Holdings Corporation","Акции иностранного эмитента обыкновенные","US98421M1062","10.08.2022"
"491","YUM","Yum! Brands, Inc.","Акции иностранного эмитента обыкновенные","US9884981013","17.08.2022"
"492","Z","Zillow Group, Inc.","Акции иностранного эмитента обыкновенные класса C","US98954M2008","10.08.2022"
"493","ZEN","Zendesk, Inc.","Акции иностранного эмитента обыкновенные","US98936J1016","24.08.2022"
"494","ZG","Zillow Group, Inc.","Акции иностранного эмитента обыкновенные класса A","US98954M1018","17.08.2022"
"495","ZIM","ZIM Integrated Shipping Services Ltd.","Акции иностранного эмитента обыкновенные","IL0065100930","10.08.2022"
"496","ZION","Zions Bancorporation, National Association","Акции иностранного эмитента обыкновенные","US9897011071","24.08.2022"
"497","ZM","Zoom Video Communications, Inc.","Акции иностранного эмитента обыкновенные класса A","US98980L1017","10.08.2022"
"498","ZS","Zscaler, Inc.","Акции иностранного эмитента обыкновенные","US98980G1022","10.08.2022"
"499","ZTS","Zoetis Inc.","Акции иностранного эмитента обыкновенные","US98978V1035","17.08.2022"
"500","ZUO","Zuora, Inc.","Акции иностранного эмитента обыкновенные класса A","US98983V1061","24.08.2022"
